guid,tag
8,negative
1576,negative
2320,negative
4912,positive
3821,positive
1306,neutral
4555,negative
259,negative
3216,positive
881,positive
1037,positive
2463,negative
3760,negative
3102,positive
4074,negative
2155,positive
5009,neutral
3292,positive
3599,positive
1061,negative
3927,positive
4461,positive
716,negative
2505,positive
1803,negative
2157,positive
1612,positive
4052,positive
3641,positive
5097,positive
2358,positive
349,positive
4710,neutral
2991,positive
459,positive
1737,positive
1993,positive
116,positive
2949,positive
2792,positive
1580,positive
2021,positive
4843,positive
4827,positive
3119,positive
3298,negative
4541,neutral
1952,positive
1839,negative
2127,positive
3872,negative
3023,negative
2351,negative
4507,negative
600,negative
1516,positive
4601,positive
1046,positive
1227,positive
4378,negative
4357,positive
4094,positive
5027,positive
1969,positive
4754,negative
861,positive
136,positive
4466,negative
4916,positive
1025,positive
4922,positive
1233,positive
1173,positive
532,positive
51,positive
3008,positive
1578,neutral
4945,positive
2572,positive
173,negative
3439,negative
755,positive
2918,positive
1417,positive
3152,positive
121,positive
780,positive
4319,positive
1191,positive
1573,positive
1406,positive
3955,positive
2904,positive
2721,negative
58,positive
3149,positive
3690,negative
3243,positive
3476,positive
1393,neutral
3362,positive
1552,negative
2348,positive
1863,positive
3003,positive
1949,positive
2137,positive
4500,negative
2823,positive
1021,positive
3103,positive
4981,positive
3110,positive
824,positive
1999,positive
1769,positive
4038,positive
2499,negative
4287,positive
4913,neutral
3181,positive
4578,positive
1446,positive
1269,negative
2803,positive
1099,positive
96,negative
749,positive
489,positive
3464,positive
4910,positive
5000,positive
2717,negative
939,positive
4944,positive
4560,negative
4471,positive
313,positive
3002,positive
204,neutral
4082,negative
960,positive
740,positive
31,positive
3324,positive
264,positive
1922,positive
3424,positive
1192,negative
4603,positive
570,positive
2668,positive
1645,positive
3271,negative
89,positive
3975,negative
3397,positive
3638,positive
1228,negative
2744,negative
4545,positive
730,positive
2958,neutral
1717,negative
1324,negative
4312,positive
3374,positive
4430,negative
3945,positive
290,positive
4061,negative
1168,negative
1667,negative
3139,positive
964,positive
3495,negative
932,positive
4483,positive
3227,positive
5108,positive
1931,neutral
5040,positive
3174,positive
1381,positive
2800,positive
4911,negative
1768,positive
4087,negative
1648,positive
3909,positive
4348,positive
3170,negative
3774,positive
3492,neutral
1994,positive
2971,positive
5043,positive
4552,positive
4372,positive
1682,negative
4046,positive
4022,negative
174,positive
4387,positive
677,positive
1133,negative
429,positive
4040,negative
2114,positive
3998,positive
1020,negative
2676,negative
2367,positive
5037,positive
2863,positive
2988,positive
2746,positive
1431,neutral
2550,positive
286,negative
739,positive
3348,positive
3948,positive
3224,positive
1096,positive
1584,negative
3660,positive
3898,positive
751,positive
3963,positive
3891,positive
312,positive
867,neutral
3268,negative
1697,positive
1791,positive
3701,neutral
2055,negative
3914,positive
3572,positive
1660,positive
2943,positive
424,positive
1285,positive
3039,positive
1642,positive
1111,positive
1539,negative
3401,positive
2098,positive
3400,positive
4345,negative
1352,positive
4681,positive
3005,positive
2362,positive
2154,positive
1512,negative
2677,negative
848,positive
1243,positive
3637,positive
1990,positive
2627,positive
948,positive
5039,negative
1587,positive
55,positive
4738,positive
4205,positive
3494,positive
2758,negative
479,positive
1898,positive
3046,positive
1088,positive
1039,positive
1875,positive
1100,positive
224,positive
2585,positive
2888,positive
1309,positive
4693,positive
3651,positive
383,positive
1057,positive
2607,positive
3306,positive
310,positive
2646,neutral
1490,positive
4860,positive
1606,positive
3554,positive
3580,positive
4947,positive
3889,positive
5,positive
2704,positive
3346,positive
2480,neutral
3842,positive
4807,negative
3001,negative
4715,negative
4410,negative
1290,positive
4644,negative
4294,positive
4847,positive
2750,positive
1861,negative
4272,negative
617,negative
1574,positive
2332,positive
1974,positive
3399,positive
3714,positive
5092,positive
2709,neutral
1435,positive
4449,positive
2939,neutral
1429,positive
145,positive
250,positive
4871,positive
1868,positive
1508,positive
4811,positive
3222,neutral
566,positive
558,positive
38,positive
533,positive
2527,positive
2078,positive
3731,negative
124,positive
4774,positive
967,negative
3016,positive
2911,positive
4613,positive
4201,positive
4877,positive
4306,positive
3671,negative
4255,positive
1105,positive
1806,positive
3061,negative
1830,neutral
3417,negative
60,positive
1933,positive
3022,neutral
2635,positive
2815,positive
1301,negative
575,positive
4925,positive
4112,positive
5127,positive
4795,negative
334,positive
3126,negative
912,positive
3969,positive
3451,positive
3336,positive
923,positive
2737,positive
2443,positive
1312,negative
3505,negative
2764,positive
4580,negative
3854,neutral
2570,positive
2989,positive
2115,negative
3462,positive
1699,positive
4898,positive
4138,positive
1866,positive
2915,positive
1635,positive
1908,positive
4030,positive
4771,positive
3248,positive
494,positive
3161,negative
20,positive
3300,positive
4242,negative
1476,positive
1879,positive
1384,positive
1616,positive
4376,positive
3884,positive
2026,negative
4291,positive
4790,positive
657,negative
2873,positive
812,positive
2893,positive
3296,positive
126,positive
2469,positive
3206,positive
2019,positive
916,positive
4621,negative
1620,negative
184,negative
5017,positive
1201,neutral
5111,positive
4417,positive
4431,positive
4434,positive
4920,positive
272,positive
279,positive
3020,positive
2325,positive
2858,positive
4288,positive
1596,positive
803,positive
4363,negative
1895,positive
3044,negative
4721,positive
698,negative
1426,positive
2016,positive
3745,negative
4903,positive
534,positive
3650,positive
3371,positive
112,positive
176,negative
573,positive
4919,positive
3276,negative
480,positive
87,negative
911,negative
3705,positive
3082,negative
2537,positive
4450,negative
1497,positive
3083,neutral
443,positive
2957,positive
2099,positive
2962,positive
460,positive
1918,neutral
3052,positive
13,positive
863,negative
1252,positive
3570,negative
4684,positive
2046,positive
1537,positive
2555,positive
1052,negative
1713,positive
2597,negative
282,negative
3833,positive
4885,positive
4587,positive
1401,positive
1281,positive
2085,negative
565,positive
1205,negative
1560,neutral
4064,positive
1036,positive
2606,positive
4777,positive
588,positive
609,positive
3279,positive
3511,positive
4796,positive
2107,negative
1106,positive
3395,negative
2546,positive
4678,neutral
1000,negative
1048,positive
1059,positive
1485,positive
3195,positive
2029,positive
